"Артикул";"Ozon Product ID";"SKU";"Штрихкод (Серийный номер / EAN)";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Метки";"Отзывы";"Рейтинг";"Причины скрытия";"Дата создания";"Категория";"Тип";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Размер НДС, %";"Ошибки";"Предупреждения"
"голубой 54 54";"999100155";"1528346277";"2095202895514";"Жилет City Classic голубой 54 54";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:47";"Одежда";"Жилет";"'5.40";"'1.1";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 50 50";"999100160";"1528346169";"2095202895736";"Жилет City Classic светло-зеленый 50 50";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:47";"Одежда";"Жилет";"'5.40";"'1.1";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 46 46";"999100173";"1528346790";"2095202895712";"Жилет City Classic светло-зеленый 46 46";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:47";"Одежда";"Жилет";"'5.40";"'1.1";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"темно-синий 60 60";"999100182";"1528346285";"2095202895934";"Жилет City Classic темно-синий 60 60";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'5.40";"'1.1";"0";"0";"0";"0";"0";"10800,00";"0,00";;"5%";;
"светло-зеленый 52 52";"999100183";"1528347564";"2095202895743";"Жилет City Classic светло-зеленый 52 52";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 48 48";"999100188";"1528346805";"2095202895729";"Жилет City Classic светло-зеленый 48 48";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"темно-синий 52 52";"999100191";"1528345654";"2095202895422";"Жилет City Classic темно-синий 52 52";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"голубой 50 50";"999100195";"1528345663";"2095202895491";"Жилет City Classic голубой 50 50";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"голубой 58 58";"999100198";"1528345990";"2095202895538";"Жилет City Classic голубой 58 58";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 60 60";"999100199";"1528345397";"2095202895873";"Жилет City Classic светло-бежевый 60 60";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"10800,00";"0,00";;"5%";;
