row_number,commission_ratio,seller_price_per_instance,order_posting_number,order_created_date,item_sku,item_barcode,item_name,item_offer_id,legal_entity_document_number,legal_entity_document_sale_date,delivery_commission_amount,delivery_commission_bank_coinvestment,delivery_commission_bonus,delivery_commission_commission,delivery_commission_compensation,delivery_commission_pick_up_point_coinvestment,delivery_commission_price_per_instance,delivery_commission_quantity,delivery_commission_standard_fee,delivery_commission_stars,delivery_commission_total,return_commission_amount,return_commission_bank_coinvestment,return_commission_bonus,return_commission_commission,return_commission_compensation,return_commission_pick_up_point_coinvestment,return_commission_price_per_instance,return_commission_quantity,return_commission_standard_fee,return_commission_stars,return_commission_total
1,0.480000,11920.000000,80053401-2315-1,2026-6-24,1528634794,04610279152131,Жилет утепленный City Classic Жилетки женские стеганные на синтепухе Весна 2026,031820N11CJ 99 48,,,4492.160000,44.920000,7382.920000,0.000000,0.000000,0.000000,4492.160000,1,5721.600000,0.000000,6198.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
2,0.480000,11920.000000,0128406263-1598-1,2026-7-1,1528671849,04610279152148,Жилет утепленный City Classic Жилетки женские стеганные на синтепухе Весна 2026,031820N11CJ 99 50,,,5123.000000,51.230000,6745.770000,0.000000,0.000000,0.000000,5123.000000,1,5721.600000,0.000000,6198.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
3,0.480000,11920.000000,24235111-0411-1,2026-7-23,1528945076,04610279152155,Жилет утепленный City Classic Жилетки женские стеганные на синтепухе Весна 2026,031820N11CJ 99 52,,,5716.000000,57.160000,6146.840000,0.000000,0.000000,0.000000,5716.000000,1,5721.600000,0.000000,6198.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
4,0.480000,11920.000000,27361332-0044-2,2026-7-5,1528945076,04610279152155,Жилет утепленный City Classic Жилетки женские стеганные на синтепухе Весна 2026,031820N11CJ 99 52,,,4086.670000,40.870000,7792.460000,0.000000,0.000000,0.000000,4086.670000,1,5721.600000,0.000000,6198.400000,4086.670000,40.870000,7792.460000,0.000000,0.000000,0.000000,4086.670000,1,5721.600000,0.000000,6198.400000
5,0.480000,11920.000000,77000565-0234-1,2026-7-17,1528945076,04610279152155,Жилет утепленный City Classic Жилетки женские стеганные на синтепухе Весна 2026,031820N11CJ 99 52,,,6410.000000,0.000000,5510.000000,0.000000,0.000000,0.000000,6410.000000,1,5721.600000,0.000000,6198.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
6,0.480000,11350.000000,34146905-0284-3,2026-7-17,1533472584,04610279088188,Жилет утепленный NortFolk ВЕСНА 2026  Жилетка мужская утепленные стеганая  ,780951N11NJ 99 60,,,5060.500000,50.610000,6238.890000,0.000000,0.000000,0.000000,5060.500000,1,5448.000000,0.000000,5902.000000,5060.500000,50.610000,6238.890000,0.000000,0.000000,0.000000,5060.500000,1,5448.000000,0.000000,5902.000000
7,0.480000,11350.000000,0138936000-0149-2,2026-7-12,1533480098,04610279088058,Жилет утепленный NortFolk ВЕСНА 2026  Жилетка мужская утепленные стеганая  ,780951N11NJ 90 50,,,4618.100000,0.000000,6731.900000,0.000000,0.000000,0.000000,4618.100000,1,5448.000000,0.000000,5902.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
8,0.480000,7151.000000,0130479510-0381-1,2026-7-19,1533504998,04610279088171,Жилет утепленный NortFolk ВЕСНА 2026  Жилетка мужская утепленные стеганая  ,780951N11NJ 99 58,,,2445.610000,24.460000,4680.930000,0.000000,0.000000,0.000000,2445.610000,1,3432.480000,0.000000,3718.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
9,0.480000,12450.000000,70512711-0227-1,2026-7-10,1547884788,04680351432659,Куртка NortFolk,112481N22N 100 54,,,4723.040000,47.230000,7679.730000,0.000000,0.000000,0.000000,4723.040000,1,5976.000000,0.000000,6474.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
10,0.480000,8880.000000,84146334-0301-3,2026-7-18,1554964859,04610279107087,Куртка NortFolk,756951N01N 36 54,,,3611.430000,36.110000,5232.460000,0.000000,0.000000,0.000000,3611.430000,1,4262.400000,0.000000,4617.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
